Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
8/2/2017,Con Edison,BQDM,16:00,20:00,4:00,Crown Heights,Test,
8/2/2017,Con Edison,BQDM,20:00,0:00,4:00,Richmond Hill,Test,
8/2/2017,Con Edison,BQDM,20:00,0:00,4:00,Ridgewood,Test,
8/2/2017,Con Edison,BQDM,20:00,0:00,4:00,Crown Heights,Test,
8/22/2017,Con Edison,Smart AC,14:00,18:00,4:00,All,Test,
8/22/2017,Con Edison,Smart AC,19:00,23:00,4:00,All,Test,
8/24/2017,NYISO,SCR,13:00,14:00,1:00,Zone H,Test,
8/24/2017,NYISO,SCR,14:00,15:00,1:00,Zone J,Test,
9/5/2017,Con Edison,Smart AC,14:00,18:00,4:00,All,Test,
9/5/2017,Con Edison,Smart AC,19:00,23:00,4:00,All,Test,
10/5/2017,NYISO,SCR,13:00,14:00,1:00,Zone J,Test,
2/22/2018,NYISO,SCR,17:00,18:00,1:00,Zones H I,Test,Test
2/22/2018,NYISO,SCR,18:00,19:00,1:00,Zone J,Test,Test
5/3/2018,Con Edison,DLRP,16:00,22:00,6:00,Fox Hills,Event,Immediate
5/3/2018,Con Edison,Nest,15:00,21:00,6:00,Fox Hills,Event,Immediate
5/3/2018,Con Edison,WhiskerLabs,16:00,20:00,4:00,Fox Hills,Event,Immediate
6/18/2018,Con Edison,BQDM,16:00,20:00,4:00,Richmond Hill,Event,Planned
6/18/2018,Con Edison,BQDM,16:00,20:00,4:00,Ridgewood,Event,Planned
6/18/2018,Con Edison,BQDM,16:00,20:00,4:00,Crown Heights,Event,Planned
6/18/2018,Con Edison,BQDM,20:00,0:00,4:00,Richmond Hill,Event,Planned
6/18/2018,Con Edison,BQDM,20:00,0:00,4:00,Ridgewood,Event,Planned
6/18/2018,Con Edison,BQDM,20:00,0:00,4:00,Crown Heights,Event,Planned
6/18/2018,Con Edison,DLRP,17:00,23:00,6:00,Fox Hills,Event,Immediate
6/18/2018,Con Edison,Nest,17:00,23:00,6:00,Fox Hills,Event,Immediate
6/18/2018,Con Edison,WhiskerLabs,17:30,22:30,5:00,Fox Hills,Event,Immediate
7/1/2018,Con Edison,BQDM,16:00,20:00,4:00,Richmond Hill,Event,Planned
7/1/2018,Con Edison,BQDM,16:00,20:00,4:00,Ridgewood,Event,Planned
7/1/2018,Con Edison,BQDM,16:00,20:00,4:00,Crown Heights,Event,Planned
7/1/2018,Con Edison,BQDM,20:00,0:00,4:00,Richmond Hill,Event,Planned
7/1/2018,Con Edison,BQDM,20:00,0:00,4:00,Ridgewood,Event,Planned
7/1/2018,Con Edison,BQDM,20:00,0:00,4:00,Crown Heights,Event,Planned
7/2/2018,Con Edison,CSRP,11:00,15:00,4:00,All,Event,Planned
7/2/2018,Con Edison,CSRP,14:00,18:00,4:00,All,Event,Planned
7/2/2018,Con Edison,CSRP,16:00,20:00,4:00,All,Event,Planned
7/2/2018,Con Edison,CSRP,19:00,23:00,4:00,All,Event,Planned
7/2/2018,Con Edison,BQDM,16:00,20:00,4:00,Richmond Hill,Event,Planned
7/2/2018,Con Edison,BQDM,16:00,20:00,4:00,Ridgewood,Event,Planned
7/2/2018,Con Edison,BQDM,16:00,20:00,4:00,Crown Heights,Event,Planned
7/2/2018,Con Edison,BQDM,20:00,0:00,4:00,Richmond Hill,Event,Planned
7/2/2018,Con Edison,BQDM,20:00,0:00,4:00,Ridgewood,Event,Planned
7/2/2018,Con Edison,BQDM,20:00,0:00,4:00,Crown Heights,Event,Planned
7/2/2018,Con Edison,Nest,16:00,20:00,4:00,All,Event,Planned
7/2/2018,Con Edison,WhiskerLabs,16:00,20:00,4:00,All,Event,Planned
7/2/2018,NYISO,SCR,13:00,18:00,6:00,Zone J,Event,Planned
7/2/2018,NYISO,EDRP,13:00,18:00,6:00,Zone J,Event,Planned
7/2/2018,Con Edison,Smart AC,14:00,18:00,4:00,All*,Test,Planned
7/2/2018,Con Edison,Smart AC,19:00,23:00,4:00,All*,Test,Planned
7/16/2018,Con Edison,DLRP,14:00,16:00,2:00,All,Test,Test
8/6/2018,Con Edison,BQDM,16:00,20:00,4:00,Richmond Hill,Event,Planned
8/6/2018,Con Edison,BQDM,16:00,20:00,4:00,Ridgewood,Event,Planned
8/6/2018,Con Edison,BQDM,16:00,20:00,4:00,Crown Heights,Event,Planned
